"Game","PlayerChoice","PlayerPrevChoice","OpponentPrevChoice"
1,1,0,0
2,1,1,1
3,2,1,2
4,2,2,1
5,1,2,3
6,1,1,1
7,2,1,2
8,2,2,1
9,2,2,1
10,1,2,1
11,1,1,3
12,2,1,2
13,2,2,3
14,2,2,2
15,2,2,1
16,2,2,2
17,2,2,3
18,2,2,2
19,2,2,3
20,2,2,2
21,1,2,2
22,1,1,1
23,1,1,1
24,1,1,1
25,3,1,1
26,1,3,1
27,2,1,2
28,2,2,2
29,1,2,1
30,1,1,2
31,1,1,1
32,1,1,2
33,1,1,1
34,1,1,2
35,1,1,1
36,1,1,1
37,2,1,2
38,2,2,3
39,1,2,1
40,1,1,1
41,2,1,2
42,1,2,2
43,3,1,3
44,1,3,3
45,1,1,2
46,3,1,2
47,1,3,3
48,2,1,1
49,3,2,1
50,2,3,2
51,2,2,2
52,2,2,3
53,2,2,3
54,2,2,2
55,1,2,2
56,2,1,3
57,2,2,2
58,3,2,3
59,2,3,2
60,2,2,1
61,1,2,1
62,2,1,2
63,3,2,1
64,3,3,2
65,3,3,3
66,1,3,2
67,2,1,3
68,1,2,3
69,1,1,1
70,3,1,3
71,1,3,1
72,1,1,1
73,3,1,3
74,1,3,1
75,3,1,2
76,2,3,1
77,2,2,3
78,1,2,3
79,3,1,1
80,3,3,2
81,3,3,3
82,2,3,1
83,2,2,1
84,2,2,3
85,2,2,2
86,2,2,3
87,2,2,2
88,2,2,3
89,2,2,1
90,2,2,2
91,2,2,3
92,3,2,2
93,1,3,1
94,1,1,3
95,2,1,2
96,3,2,2
97,3,3,2
98,3,3,3
99,3,3,3
100,1,3,1
101,1,1,2
102,1,1,2
103,3,1,1
104,3,3,1
105,3,3,2
106,1,3,2
107,1,1,3
108,1,1,1
109,3,1,3
110,3,3,2
111,3,3,1
112,3,3,1
113,3,3,2
114,1,3,2
115,1,1,1
116,1,1,2
117,1,1,3
118,1,1,3
119,1,1,2
120,3,1,2
121,1,3,1
122,2,1,3
123,2,2,2
124,2,2,2
125,3,2,1
126,2,3,2
127,2,2,1
128,2,2,2
129,2,2,2
130,2,2,1
131,2,2,1
132,2,2,3
133,2,2,2
134,3,2,2
135,2,3,1
136,2,2,3
137,1,2,2
138,3,1,2
139,2,3,3
140,3,2,2
141,3,3,2
142,3,3,2
143,3,3,3
144,2,3,2
145,1,2,1
146,1,1,3
147,3,1,2
148,2,3,1
149,1,2,2
150,1,1,1
151,1,1,3
152,3,1,3
153,3,3,2
154,2,3,1
155,3,2,1
156,3,3,1
157,2,3,2
158,2,2,2
159,2,2,1
160,3,2,2
161,3,3,1
162,2,3,2
163,1,2,1
164,2,1,2
165,1,2,1
166,2,1,3
167,2,2,2
168,2,2,1
169,2,2,3
170,3,2,1
171,2,3,2
172,2,2,3
173,2,2,1
174,1,2,2
175,1,1,2
176,3,1,3
177,3,3,3
178,2,3,2
179,1,2,2
180,2,1,2
181,1,2,2
182,1,1,2
183,1,1,1
184,2,1,1
185,2,2,2
186,1,2,3
187,1,1,3
188,1,1,1
189,1,1,1
190,2,1,2
191,2,2,3
192,1,2,1
193,1,1,2
194,3,1,3
195,3,3,3
196,3,3,3
197,3,3,3
198,3,3,3
199,2,3,1
200,2,2,3
201,3,2,3
202,3,3,2
203,3,3,1
204,2,3,1
205,1,2,2
206,1,1,1
207,3,1,1
208,3,3,1
209,2,3,2
210,3,2,3
211,2,3,1
212,2,2,3
213,3,2,1
214,3,3,2
215,2,3,2
216,1,2,2
217,3,1,2
218,2,3,2
219,2,2,2
220,3,2,3
221,3,3,3
222,3,3,1
223,3,3,3
224,2,3,3
225,2,2,2
226,3,2,2
227,3,3,1
228,3,3,3
229,1,3,2
230,3,1,3
231,3,3,1
232,3,3,3
233,1,3,1
234,1,1,1
235,1,1,2
236,2,1,2
237,1,2,3
238,1,1,2
239,2,1,3
240,1,2,3
241,2,1,2
242,3,2,1
243,3,3,3
244,1,3,3
245,1,1,2
246,1,1,2
247,2,1,2
248,2,2,1
249,1,2,3
250,3,1,2
251,1,3,1
252,2,1,1
253,3,2,2
254,2,3,2
255,1,2,3
256,3,1,2
257,3,3,1
258,3,3,2
259,2,3,2
260,2,2,1
261,1,2,1
262,2,1,3
263,3,2,2
264,3,3,1
265,3,3,1
266,2,3,2
267,2,2,1
268,2,2,1
269,2,2,3
270,1,2,1
271,1,1,1
272,1,1,2
273,2,1,2
274,2,2,1
275,3,2,1
276,3,3,2
277,2,3,2
278,2,2,1
279,2,2,1
280,1,2,3
281,3,1,3
282,3,3,3
283,1,3,3
284,1,1,2
285,3,1,3
286,3,3,1
287,1,3,3
288,3,1,3
289,3,3,1
290,3,3,3
291,1,3,1
292,1,1,1
293,2,1,2
294,2,2,2
295,2,2,1
296,2,2,1
297,2,2,3
298,2,2,1
299,1,2,3
300,3,1,2
301,2,3,1
302,3,2,2
303,1,3,3
304,1,1,1
305,3,1,2
306,1,3,1
307,3,1,1
308,2,3,2
309,3,2,1
310,2,3,3
311,3,2,2
312,1,3,2
313,1,1,1
314,3,1,3
315,2,3,2
316,3,2,3
317,3,3,2
318,3,3,2
319,2,3,2
320,2,2,2
321,2,2,2
322,1,2,2
323,1,1,1
324,2,1,2
325,2,2,2
326,2,2,1
327,3,2,3
328,2,3,2
329,2,2,1
330,2,2,1
331,1,2,3
332,1,1,3
333,1,1,1
334,1,1,3
335,3,1,3
336,2,3,2
337,1,2,2
338,1,1,2
339,1,1,1
340,3,1,2
341,1,3,2
342,3,1,3
343,2,3,1
344,2,2,3
345,2,2,1
346,2,2,2
347,3,2,2
348,3,3,2
349,3,3,1
350,2,3,3
351,3,2,1
352,3,3,3
353,3,3,1
354,1,3,1
355,2,1,3
356,2,2,1
357,2,2,2
358,3,2,3
359,3,3,2
360,3,3,1
361,3,3,1
362,3,3,3
363,2,3,1
364,3,2,3
365,1,3,1
366,3,1,3
367,3,3,3
368,2,3,3
369,2,2,3
370,1,2,2
371,3,1,3
372,3,3,3
373,1,3,1
374,2,1,3
375,1,2,1
376,1,1,3
377,3,1,2
378,1,3,1
379,1,1,2
380,1,1,1
381,1,1,3
