"Game","PlayerChoice","PlayerPrevChoice","OpponentPrevChoice"
1,1,0,0
2,1,1,1
3,2,1,2
4,3,2,2
5,1,3,3
6,1,1,1
7,3,1,2
8,3,3,3
9,3,3,1
10,1,3,1
11,1,1,3
12,2,1,2
13,2,2,3
14,2,2,2
15,2,2,1
16,3,2,2
17,2,3,1
18,2,2,2
19,3,2,2
20,2,3,2
21,2,2,3
22,2,2,2
23,3,2,1
24,1,3,1
25,1,1,1
26,1,1,3
27,1,1,1
28,2,1,2
29,1,2,1
30,1,1,2
31,1,1,1
32,3,1,2
33,2,3,1
34,2,2,3
35,1,2,1
36,1,1,1
37,1,1,2
38,1,1,3
39,1,1,1
40,1,1,1
41,2,1,2
42,1,2,2
43,1,1,3
44,3,1,1
45,2,3,1
46,3,2,3
47,1,3,3
48,2,1,1
49,3,2,1
50,2,3,2
51,2,2,2
52,2,2,3
53,2,2,3
54,1,2,2
55,1,1,2
56,2,1,3
57,2,2,2
58,3,2,3
59,2,3,2
60,2,2,1
61,3,2,1
62,3,3,2
63,1,3,2
64,2,1,3
65,3,2,3
66,1,3,2
67,2,1,3
68,1,2,3
69,1,1,1
70,3,1,3
71,1,3,1
72,2,1,1
73,2,2,3
74,1,2,3
75,1,1,1
76,3,1,3
77,2,3,2
78,1,2,3
79,3,1,1
80,3,3,2
81,1,3,3
82,2,1,1
83,2,2,1
84,2,2,3
85,2,2,2
86,2,2,3
87,2,2,2
88,2,2,3
89,2,2,1
90,2,2,2
91,2,2,3
92,3,2,2
93,1,3,1
94,1,1,3
95,2,1,2
96,3,2,2
97,3,3,2
98,3,3,3
99,3,3,3
100,2,3,3
101,2,2,2
102,2,2,3
103,3,2,3
104,1,3,2
105,2,1,2
106,2,2,3
107,2,2,1
108,1,2,1
109,1,1,2
110,3,1,3
111,3,3,1
112,3,3,1
113,3,3,2
114,1,3,2
115,1,1,1
116,1,1,2
117,1,1,3
118,2,1,3
119,2,2,3
120,2,2,2
121,3,2,3
122,3,3,1
123,2,3,1
124,2,2,3
125,2,2,1
126,3,2,1
127,2,3,2
128,2,2,1
129,1,2,2
130,2,1,2
131,2,2,1
132,2,2,1
133,2,2,3
134,1,2,2
135,3,1,2
136,2,3,1
137,2,2,3
138,1,2,2
139,3,1,2
140,2,3,3
141,3,2,2
142,3,3,2
143,3,3,2
144,1,3,3
145,2,1,2
146,1,2,1
147,1,1,3
148,3,1,2
149,2,3,1
150,1,2,2
151,1,1,1
152,2,1,3
153,3,2,3
154,3,3,2
155,2,3,1
156,3,2,1
157,3,3,1
158,2,3,2
159,3,2,2
160,1,3,3
161,2,1,3
162,3,2,1
163,3,3,1
164,2,3,2
165,1,2,1
166,2,1,2
167,1,2,1
168,2,1,3
169,3,2,2
170,3,3,1
171,1,3,3
172,2,1,3
173,2,2,1
174,1,2,3
175,2,1,2
176,2,2,1
177,3,2,3
178,3,3,2
179,1,3,3
180,2,1,1
181,3,2,3
182,3,3,1
183,1,3,2
184,1,1,2
185,1,1,1
186,2,1,2
187,2,2,1
188,1,2,3
189,1,1,3
190,1,1,1
191,1,1,1
192,2,1,2
193,2,2,3
194,1,2,1
195,3,1,2
196,3,3,3
197,3,3,3
198,3,3,3
199,3,3,3
200,3,3,1
201,1,3,1
202,1,1,1
203,3,1,2
204,3,3,3
205,3,3,3
206,2,3,1
207,1,2,2
208,1,1,1
209,3,1,1
210,3,3,1
211,2,3,2
212,3,2,3
213,3,3,1
214,2,3,2
215,3,2,1
216,3,3,2
217,2,3,2
218,1,2,2
219,3,1,2
220,2,3,2
221,2,2,2
222,3,2,3
223,3,3,3
224,3,3,1
225,3,3,3
226,2,3,3
227,3,2,2
228,3,3,1
229,3,3,3
230,2,3,2
231,2,2,3
232,2,2,1
233,2,2,3
234,1,2,1
235,1,1,1
236,1,1,3
237,1,1,1
238,3,1,3
239,2,3,3
240,1,2,2
241,1,1,1
242,1,1,2
243,1,1,3
244,1,1,2
245,1,1,1
246,1,1,2
247,2,1,1
248,1,2,2
249,1,1,3
250,1,1,3
251,1,1,2
252,1,1,1
253,2,1,1
254,3,2,2
255,2,3,2
256,2,2,3
257,3,2,2
258,3,3,1
259,1,3,3
260,1,1,3
261,1,1,2
262,3,1,2
263,3,3,3
264,1,3,3
265,1,1,2
266,1,1,3
267,1,1,3
268,3,1,3
269,3,3,1
270,2,3,2
271,1,2,1
272,1,1,2
273,2,1,2
274,2,2,1
275,3,2,1
276,3,3,2
277,2,3,2
278,2,2,1
279,2,2,1
280,3,2,3
281,3,3,1
282,3,3,3
283,1,3,3
284,1,1,2
285,3,1,3
286,2,3,1
287,2,2,1
288,2,2,3
289,3,2,1
290,3,3,3
291,1,3,1
292,1,1,1
293,2,1,2
294,2,2,2
295,2,2,1
296,2,2,1
297,2,2,3
298,2,2,1
299,1,2,3
300,3,1,2
301,3,3,1
302,3,3,2
303,3,3,3
304,3,3,1
305,3,3,2
306,3,3,1
307,3,3,1
308,2,3,2
309,3,2,1
310,3,3,3
311,3,3,2
312,3,3,2
313,1,3,1
314,3,1,3
315,3,3,2
316,3,3,2
317,3,3,2
318,2,3,1
319,2,2,3
320,2,2,2
321,2,2,2
322,1,2,2
323,1,1,1
324,2,1,2
325,2,2,2
326,2,2,1
327,3,2,3
328,2,3,2
329,2,2,1
330,2,2,1
331,1,2,1
332,1,1,1
333,1,1,3
334,2,1,3
335,2,2,3
336,1,2,1
337,1,1,2
338,1,1,1
339,2,1,2
340,1,2,2
341,3,1,3
342,2,3,1
343,2,2,3
344,1,2,1
345,1,1,3
346,3,1,2
347,3,3,2
348,3,3,1
349,3,3,3
350,3,3,1
351,3,3,3
352,1,3,1
353,1,1,1
354,2,1,3
355,2,2,1
356,2,2,2
357,3,2,3
358,3,3,2
359,3,3,1
360,3,3,1
361,3,3,3
362,2,3,1
363,3,2,3
364,1,3,1
365,3,1,3
366,3,3,3
367,3,3,3
368,2,3,2
369,2,2,1
370,3,2,3
371,2,3,1
372,2,2,1
373,1,2,2
374,1,1,3
375,3,1,2
376,3,3,1
377,3,3,2
378,1,3,1
379,1,1,3
380,2,1,2
381,2,2,3
