"Game","PlayerChoice","PlayerPrevChoice","OpponentPrevChoice"
1,1,0,0
2,1,1,1
3,2,1,2
4,3,2,2
5,1,3,3
6,1,1,1
7,3,1,2
8,3,3,3
9,3,3,1
10,3,3,1
11,2,3,2
12,3,2,2
13,3,3,2
14,1,3,2
15,2,1,2
16,3,2,3
17,2,3,1
18,3,2,2
19,2,3,2
20,2,2,3
21,2,2,2
22,3,2,1
23,1,3,1
24,1,1,1
25,3,1,1
26,1,3,1
27,2,1,2
28,2,2,2
29,1,2,1
30,1,1,2
31,1,1,1
32,1,1,2
33,2,1,1
34,1,2,1
35,2,1,1
36,1,2,1
37,1,1,1
38,1,1,1
39,2,1,2
40,1,2,2
41,3,1,3
42,1,3,3
43,1,1,2
44,3,1,2
45,1,3,3
46,2,1,1
47,3,2,1
48,2,3,2
49,2,2,2
50,2,2,3
51,2,2,3
52,2,2,2
53,1,2,2
54,2,1,3
55,2,2,2
56,2,2,3
57,2,2,1
58,2,2,1
59,1,2,2
60,2,1,3
61,3,2,3
62,3,3,2
63,2,3,3
64,2,2,3
65,2,2,1
66,1,2,3
67,3,1,1
68,3,3,3
69,3,3,1
70,3,3,2
71,3,3,3
72,2,3,2
73,2,2,3
74,3,2,1
75,3,3,2
76,3,3,3
77,3,3,1
78,3,3,1
79,3,3,3
80,3,3,2
81,3,3,3
82,3,3,2
83,1,3,1
84,2,1,2
85,2,2,3
86,1,2,2
87,1,1,3
88,2,1,2
89,2,2,2
90,2,2,3
91,2,2,2
92,1,2,3
93,1,1,2
94,1,1,2
95,1,1,2
96,3,1,1
97,3,3,1
98,1,3,2
99,1,1,3
100,1,1,1
